pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,65.93591400017749,66.88530630086143,66.88530630086143,66.88530630086143,66.88530630086143,66.93532353777528,67.88924965994056,67.88924965994056,x,1,0.40680744156406945,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,0,1,1,1,,,,,68.33145256769649,69.32674728269558,69.32674728269558,69.32674728269558,69.32674728269558,69.3434990874398,70.33015693138259,70.33015693138259,v,1,0.7815346243878594,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,0,2,2,2,,,,,71.1331082170268,72.1200591790639,72.1200591790639,72.1200591790639,72.1200591790639,72.1367551374151,73.12330642040297,73.12330642040297,c,1,0.5803469376423891,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,0,3,3,3,,,,,73.72544947290044,74.71256404977521,74.71256404977521,74.71256404977521,74.71256404977521,74.72930347775082,75.71584600643928,75.71584600643928,z,1,0.37208094700872607,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,1,0,4,0,,,,,76.11715607225369,77.10365875378602,77.10365875378602,77.10365875378602,77.10365875378602,77.12044708508984,78.10769086334903,78.10769086334903,x,1,0.3808563774941831,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,1,1,5,1,,,,,78.50913767735756,79.49560353045808,79.49560353045808,79.49560353045808,79.49560353045808,79.51225903790828,80.49870949551678,80.49870949551678,v,1,0.35715456462958173,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,1,2,6,2,,,,,80.8836837367453,81.87052843970014,81.87052843970014,81.87052843970014,81.87052843970014,81.88729443244665,82.87448417554697,82.87448417554697,c,1,0.3498637425764173,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,1,3,7,3,,,,,83.24238179733584,84.22878274787172,84.22878274787172,84.22878274787172,84.22878274787172,84.24544700962178,85.23266995868562,85.23266995868562,z,1,0.7116378828595771,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,2,0,8,0,,,,,85.96855274525751,86.95488939697361,86.95488939697361,86.95488939697361,86.95488939697361,86.97163908861103,87.95877600404265,87.95877600404265,x,1,0.6894741098408304,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,2,1,9,1,,,,,88.67769899579116,89.66414039722758,89.66414039722758,89.66414039722758,89.66414039722758,89.68100298914032,90.66782807038908,90.66782807038908,v,1,0.7007577980448332,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,2,2,10,2,,,,,91.38692856310536,92.37412072118514,92.37412072118514,92.37412072118514,92.37412072118514,92.39096520075418,93.37734079400889,93.37734079400889,c,1,0.4546659889902003,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,2,3,11,3,,,,,93.86225321177108,94.84942967248662,94.84942967248662,94.84942967248662,94.84942967248662,94.86622434311039,95.85296308885472,95.85296308885472,z,1,1.1143951249291604,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,3,0,12,0,,,,,96.98992138639096,97.97669937554656,97.97669937554656,97.97669937554656,97.97669937554656,97.99345208590785,98.98017875675669,98.98017875675669,x,1,0.4192249624793476,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,3,1,13,1,,,,,99.43175359484712,100.41829823664239,100.41829823664239,100.41829823664239,100.41829823664239,100.43507932300872,101.42229804585895,101.42229804585895,v,1,0.8736032894903474,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,3,2,14,2,,,,,102.32524969375027,103.31167147348151,103.31167147348151,103.31167147348151,103.31167147348151,103.32858357246641,104.31514210039177,104.31514210039177,c,1,0.5081641164756547,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,3,3,15,3,,,,,104.85045241615626,105.837425414878,105.837425414878,105.837425414878,105.837425414878,105.8542071049892,106.84108773075877,106.84108773075877,z,1,0.49409867416352427,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,4,0,16,0,,,,,107.35920550808441,108.34645592753623,108.34645592753623,108.34645592753623,108.34645592753623,108.3632955771468,109.34949487692347,109.34949487692347,x,1,0.4498855377637483,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,4,1,17,1,,,,,109.817746957277,110.80452645579453,110.80452645579453,110.80452645579453,110.80452645579453,110.82116686962536,111.80842543963172,111.80842543963172,v,1,0.823762044182331,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,4,2,18,2,,,,,112.66135109630977,113.6481468959364,113.6481468959364,113.6481468959364,113.6481468959364,113.66489749319135,114.65114207382703,114.65114207382703,c,1,0.7807053809228819,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
